id,text_bn,text_en,sentiment,gender_reference,dialect,dialect_raw,style,source_type,length_char,length_words,dialect_marker_count,cross_dialect_marker_count,dialect_authenticity,is_political_content
1,গানটা সেই হইছে,The song is awesome.,Positive,Neutral,Standard,Standard,Informal,YouTube,14,3,0,0,standard_ok,False
2,অসাধারণ একটা গান,An amazing song.,Positive,Neutral,Standard,Standard,Informal,YouTube,16,3,0,0,standard_ok,False
4,অনেক সুন্দর হয়েছে,Very beautiful.,Positive,Neutral,Standard,Standard,Informal,YouTube,18,3,0,1,standard_with_dialect_markers,False
5,Love from nepal🇳🇵🇳🇵🇳🇵,Love from Nepal 🇳🇵🇳🇵🇳🇵,Positive,Neutral,Other/Unclassified,English,Informal,YouTube,21,3,0,0,no_markers_found,False
6,আনেক সুন্দর হয়েছে,It has become very beautiful.,Positive,Neutral,Standard,Standard,Informal,YouTube,18,3,0,0,standard_ok,False
7,Sylhet on fire,Sylhet on fire.,Positive,Neutral,Other/Unclassified,English,Informal,YouTube,14,3,0,0,no_markers_found,False
8,"love,love, love Shylet","love, love, love Sylhet.",Positive,Neutral,Other/Unclassified,English,Informal,YouTube,22,3,0,0,no_markers_found,False
9,"November, 2025 🇮🇳","November, 2025 🇮🇳",Neutral,Neutral,Other/Unclassified,English,Informal,YouTube,17,3,0,0,no_markers_found,False
11,Khob valo gan,Very good song.,Positive,Neutral,Other/Unclassified,Informal,Informal,YouTube,13,3,0,0,no_markers_found,False
12,Thakurgaon theka sunchi,Listening from Thakurgaon.,Neutral,Neutral,Other/Unclassified,Informal,Informal,YouTube,23,3,0,0,no_markers_found,False
13,Onek shondor lagse,Felt very beautiful.,Positive,Neutral,Other/Unclassified,Informal,Informal,YouTube,18,3,0,0,no_markers_found,False
14,২০২৫ আবার শুনছি,Listening again in 2025.,Neutral,Neutral,Standard,Standard,Informal,YouTube,15,3,0,0,standard_ok,False
15,সিলেটের সৌন্দর্য,The beauty of Sylhet.,Positive,Neutral,Standard,Standard,Formal,YouTube,16,2,0,0,standard_ok,False
16,Verry nice song,Very nice song.,Positive,Neutral,Other/Unclassified,English,Informal,YouTube,15,3,0,0,no_markers_found,False
17,Love from satkhira,Love from Satkhira.,Positive,Neutral,Other/Unclassified,English,Informal,YouTube,18,3,0,0,no_markers_found,False
18,Nice video syileti,Nice video Sylheti.,Positive,Neutral,Other/Unclassified,English,Informal,YouTube,18,3,0,0,no_markers_found,False
